index,line_number,section,expression
1,330,Factorization Machines(FM),"\hat{y}(x) = w_0 + \sum_i w_i x_i + \sum_i \sum_j \langle v_i, v_j \rangle x_i x_j"
2,336,Factorization Machines(FM),"\hat{y}(x) = \underbrace{w_0 + \sum_i w_i x_i}_{\text{로지스틱 회귀}} + \underbrace{\sum_i \sum_j \langle v_i, v_j \rangle x_i x_j}_{\text{쌍별 상호작용}}"
3,391,크로스 엔트로피(CE),"H(p,q) = -\sum_{c=1}^{C} p_c \log q_c"
4,397,크로스 엔트로피(CE),"H(p,q) = -\sum_{i} p_{i} \log q_{i} = -\sum_{i} \left( y_{i} \log \hat{y}_{i} + (1-y_{i}) \log (1-\hat{y}_{i}) \right)"
5,407,NCE(normalized cross-entropy),NCE = \frac{CE(머신러닝 모델)}{CE(단순 기준선)}
